Block;Mesohabitat;Grazer;Substrate;Meso_Grazer;Grazer_Substrate;Replication;ADMI;ACS3;CPLA;EMIN;EVUL;EINC;EMER;EPER;EOS1;FCAP;FGRA;FCRA;GANG;GPAR;GLAG;GPSE;GPUM;GGRA;NANG;NCRY;NAMP;NPRA;PSUB;PLS1;ULNA
1;Riffle;Presence;Rough;RifflePresence;PresenceRough;A1;121;0;189;19;4;1;1;0;0;29;0;0;1;114;0;0;0;0;1;5;1;3;0;3;0
3;Riffle;Presence;Rough;RifflePresence;PresenceRough;A2;58;0;344;3;1;0;2;0;0;1;0;0;0;62;0;0;9;0;0;3;1;0;5;0;0
5;Riffle;Presence;Rough;RifflePresence;PresenceRough;A3;80;0;282;4;2;3;4;1;0;13;3;0;0;93;0;0;0;0;2;1;1;0;0;2;0
7;Riffle;Presence;Rough;RifflePresence;PresenceRough;A4;55;0;279;1;5;0;8;2;0;19;0;0;0;119;0;0;1;0;0;4;1;0;0;0;0
9;Riffle;Presence;Rough;RifflePresence;PresenceRough;A5;103;0;240;34;3;2;0;1;0;17;0;2;1;22;0;0;5;0;5;34;0;0;0;2;0
1;Riffle;Presence;Smooth;RifflePresence;PresenceSmooth;B1;75;0;127;0;0;0;0;2;0;30;0;0;0;237;0;0;1;6;0;5;2;0;0;0;0
3;Riffle;Presence;Smooth;RifflePresence;PresenceSmooth;B2;50;2;217;2;0;1;2;2;0;32;0;0;0;170;0;0;5;4;2;4;0;2;0;0;1
5;Riffle;Presence;Smooth;RifflePresence;PresenceSmooth;B3;29;0;57;0;0;0;0;1;0;50;0;0;3;332;0;0;1;17;0;2;0;0;0;1;1
7;Riffle;Presence;Smooth;RifflePresence;PresenceSmooth;B4;20;0;102;1;1;0;0;0;0;14;0;0;4;247;0;33;3;0;0;3;1;0;0;69;0
9;Riffle;Presence;Smooth;RifflePresence;PresenceSmooth;B5;25;2;408;0;0;9;0;2;0;6;0;3;0;18;9;0;1;0;3;2;0;2;0;0;0
1;Riffle;Absence;Rough;RiffleAbsence;AbsenceRough;C1;83;0;243;15;10;7;0;1;0;29;0;1;0;71;0;0;0;0;2;12;1;1;1;12;1
3;Riffle;Absence;Rough;RiffleAbsence;AbsenceRough;C2;17;0;222;0;10;2;0;0;0;23;0;0;0;202;0;0;0;0;0;4;1;1;0;15;0
5;Riffle;Absence;Rough;RiffleAbsence;AbsenceRough;C3;67;0;309;10;7;7;2;0;0;23;0;1;1;51;0;0;1;1;1;2;0;1;0;8;0
7;Riffle;Absence;Rough;RiffleAbsence;AbsenceRough;C4;44;0;269;0;2;5;8;1;0;35;0;1;2;99;2;0;3;0;3;5;0;3;0;0;4
9;Riffle;Absence;Rough;RiffleAbsence;AbsenceRough;C5;56;0;368;5;1;13;4;1;0;1;0;5;0;18;0;1;2;1;0;7;0;3;3;1;0
1;Riffle;Absence;Smooth;RiffleAbsence;AbsenceSmooth;D1;62;0;43;1;0;1;0;3;1;150;2;0;0;208;0;0;3;12;1;4;1;1;0;0;1
3;Riffle;Absence;Smooth;RiffleAbsence;AbsenceSmooth;D2;4;0;82;0;0;0;0;0;0;2;0;0;187;234;0;0;0;0;0;1;0;0;0;0;0
5;Riffle;Absence;Smooth;RiffleAbsence;AbsenceSmooth;D3;87;0;75;0;6;1;1;0;17;43;11;0;129;122;0;0;1;0;0;1;0;1;0;0;3
7;Riffle;Absence;Smooth;RiffleAbsence;AbsenceSmooth;D4;19;0;39;0;1;0;1;0;0;5;17;0;0;412;0;0;0;0;0;1;0;0;0;0;0
9;Riffle;Absence;Smooth;RiffleAbsence;AbsenceSmooth;D5;33;1;414;1;0;12;2;1;0;6;0;1;0;12;4;0;0;0;2;2;1;1;1;0;0
2;Pool;Presence;Rough;PoolPresence;PresenceRough;E1;87;13;316;2;0;0;0;3;5;10;0;1;0;24;2;0;2;0;5;4;2;8;0;0;0
4;Pool;Presence;Rough;PoolPresence;PresenceRough;E2;98;0;226;2;3;46;3;1;0;7;0;1;0;33;9;1;1;0;6;12;3;12;12;0;2
6;Pool;Presence;Rough;PoolPresence;PresenceRough;E3;97;10;313;4;3;12;1;0;1;10;0;2;0;6;4;0;0;0;7;13;4;2;0;0;0
8;Pool;Presence;Rough;PoolPresence;PresenceRough;E4;215;6;143;0;3;27;1;4;7;7;0;0;0;25;6;1;3;0;10;12;2;6;0;0;0
10;Pool;Presence;Rough;PoolPresence;PresenceRough;E5;117;4;334;1;0;4;0;3;0;4;0;1;0;7;1;0;0;1;7;9;1;5;0;0;0
2;Pool;Presence;Smooth;PoolPresence;PresenceSmooth;F1;21;0;373;0;0;31;0;1;0;8;0;1;0;20;12;0;1;0;6;8;0;1;6;0;0
4;Pool;Presence;Smooth;PoolPresence;PresenceSmooth;F2;7;0;311;1;1;110;2;0;0;2;0;0;0;29;2;1;2;0;2;4;0;1;0;0;3
6;Pool;Presence;Smooth;PoolPresence;PresenceSmooth;F3;14;1;443;0;0;23;3;1;0;2;0;0;0;3;1;0;1;0;0;2;1;0;3;0;0
8;Pool;Presence;Smooth;PoolPresence;PresenceSmooth;F4;94;0;206;0;0;131;0;1;0;1;0;0;0;25;3;4;0;0;4;3;4;5;2;0;1
10;Pool;Presence;Smooth;PoolPresence;PresenceSmooth;F5;11;0;474;1;0;5;0;1;0;0;0;0;0;2;0;0;0;0;0;1;1;2;0;0;0
2;Pool;Absence;Rough;PoolAbsence;AbsenceRough;G1;103;6;272;0;0;18;2;1;0;13;0;1;0;17;6;0;0;2;14;16;8;1;0;0;0
4;Pool;Absence;Rough;PoolAbsence;AbsenceRough;G2;72;2;300;0;0;31;5;2;0;6;0;1;0;27;6;0;1;1;3;5;0;10;0;0;0
6;Pool;Absence;Rough;PoolAbsence;AbsenceRough;G3;132;3;301;0;1;9;0;0;0;4;0;1;0;2;5;1;0;0;7;11;2;3;0;0;1
8;Pool;Absence;Rough;PoolAbsence;AbsenceRough;G4;179;0;191;0;2;24;5;0;0;14;0;1;0;27;12;0;0;0;5;8;9;2;3;0;1
10;Pool;Absence;Rough;PoolAbsence;AbsenceRough;G5;95;9;334;1;2;8;0;1;0;8;0;1;0;8;1;1;0;0;2;12;3;5;0;0;0
2;Pool;Absence;Smooth;PoolAbsence;AbsenceSmooth;H1;58;7;315;0;3;18;0;1;0;11;0;1;0;14;8;0;1;0;12;16;7;8;7;0;1
4;Pool;Absence;Smooth;PoolAbsence;AbsenceSmooth;H2;25;1;375;0;0;1;0;0;0;6;0;2;0;9;16;1;0;0;2;2;0;1;1;0;3
6;Pool;Absence;Smooth;PoolAbsence;AbsenceSmooth;H3;50;3;393;2;0;13;2;0;0;6;0;2;0;4;0;4;1;0;3;1;6;0;0;0;0
8;Pool;Absence;Smooth;PoolAbsence;AbsenceSmooth;H4;82;1;174;1;0;57;0;0;0;17;0;1;0;68;20;10;1;0;7;11;11;5;0;0;8
10;Pool;Absence;Smooth;PoolAbsence;AbsenceSmooth;H5;26;0;447;2;1;4;0;1;0;1;0;0;0;3;0;0;0;1;3;5;1;1;1;0;0
