Block;Mesohabitat;Grazer;Substrate;Meso_Grazer;Grazer_Substrate;Replication;ADMI;CPLA;EINC;FCAP;GPAR;NCRY;Others
1;Riffle;Presence;Rough;RifflePresence;PresenceRough;A1;121;189;1;29;114;5;33
3;Riffle;Presence;Rough;RifflePresence;PresenceRough;A2;58;344;0;1;62;3;24
5;Riffle;Presence;Rough;RifflePresence;PresenceRough;A3;80;282;3;13;93;1;16
7;Riffle;Presence;Rough;RifflePresence;PresenceRough;A4;55;279;0;19;119;4;19
9;Riffle;Presence;Rough;RifflePresence;PresenceRough;A5;103;240;2;17;22;34;61
1;Riffle;Presence;Smooth;RifflePresence;PresenceSmooth;B1;75;127;0;30;237;5;9
3;Riffle;Presence;Smooth;RifflePresence;PresenceSmooth;B2;50;217;1;32;170;4;21
5;Riffle;Presence;Smooth;RifflePresence;PresenceSmooth;B3;29;57;0;50;332;2;3
7;Riffle;Presence;Smooth;RifflePresence;PresenceSmooth;B4;20;102;0;14;247;3;40
9;Riffle;Presence;Smooth;RifflePresence;PresenceSmooth;B5;25;408;9;6;18;2;23
1;Riffle;Absence;Rough;RiffleAbsence;AbsenceRough;C1;83;243;7;29;71;12;34
3;Riffle;Absence;Rough;RiffleAbsence;AbsenceRough;C2;17;222;2;23;202;4;13
5;Riffle;Absence;Rough;RiffleAbsence;AbsenceRough;C3;67;309;7;23;51;2;25
7;Riffle;Absence;Rough;RiffleAbsence;AbsenceRough;C4;44;269;5;35;99;5;33
9;Riffle;Absence;Rough;RiffleAbsence;AbsenceRough;C5;56;368;13;1;18;7;29
1;Riffle;Absence;Smooth;RiffleAbsence;AbsenceSmooth;D1;62;43;1;150;208;4;16
3;Riffle;Absence;Smooth;RiffleAbsence;AbsenceSmooth;D2;4;82;0;2;234;1;0
5;Riffle;Absence;Smooth;RiffleAbsence;AbsenceSmooth;D3;87;75;1;43;122;1;14
7;Riffle;Absence;Smooth;RiffleAbsence;AbsenceSmooth;D4;19;39;0;5;412;1;2
9;Riffle;Absence;Smooth;RiffleAbsence;AbsenceSmooth;D5;33;414;12;6;12;2;17
2;Pool;Presence;Rough;PoolPresence;PresenceRough;E1;87;316;0;10;24;4;39
4;Pool;Presence;Rough;PoolPresence;PresenceRough;E2;98;226;46;7;33;12;65
6;Pool;Presence;Rough;PoolPresence;PresenceRough;E3;97;313;12;10;6;13;41
8;Pool;Presence;Rough;PoolPresence;PresenceRough;E4;215;143;27;7;25;12;43
10;Pool;Presence;Rough;PoolPresence;PresenceRough;E5;117;334;4;4;7;9;24
2;Pool;Presence;Smooth;PoolPresence;PresenceSmooth;F1;21;373;31;8;20;8;29
4;Pool;Presence;Smooth;PoolPresence;PresenceSmooth;F2;7;311;110;2;29;4;27
6;Pool;Presence;Smooth;PoolPresence;PresenceSmooth;F3;14;443;23;2;3;2;13
8;Pool;Presence;Smooth;PoolPresence;PresenceSmooth;F4;94;206;131;1;25;3;25
10;Pool;Presence;Smooth;PoolPresence;PresenceSmooth;F5;11;474;5;0;2;1;5
2;Pool;Absence;Rough;PoolAbsence;AbsenceRough;G1;103;272;18;13;17;16;47
4;Pool;Absence;Rough;PoolAbsence;AbsenceRough;G2;72;300;31;6;27;5;37
6;Pool;Absence;Rough;PoolAbsence;AbsenceRough;G3;132;301;9;4;2;11;30
8;Pool;Absence;Rough;PoolAbsence;AbsenceRough;G4;179;191;24;14;27;8;44
10;Pool;Absence;Rough;PoolAbsence;AbsenceRough;G5;95;334;8;8;8;12;28
2;Pool;Absence;Smooth;PoolAbsence;AbsenceSmooth;H1;58;315;18;11;14;16;60
4;Pool;Absence;Smooth;PoolAbsence;AbsenceSmooth;H2;25;375;1;6;9;2;29
6;Pool;Absence;Smooth;PoolAbsence;AbsenceSmooth;H3;50;393;13;6;4;1;27
8;Pool;Absence;Smooth;PoolAbsence;AbsenceSmooth;H4;82;174;57;17;68;11;74
10;Pool;Absence;Smooth;PoolAbsence;AbsenceSmooth;H5;26;447;4;1;3;5;11
